1, Sebuah oven untuk penerimaan terus menerus dari sodium sulfuries
2, Perangkat untuk memurnikan air menggunakan reagen kimia
3," Tungku portabel untuk memasak makanan dan pemanasan di parit, kamp, ​​dll."
4," Fokus untuk memasak massal, roti roti dan air mendidih"
5, boiler air
6, Perangkat untuk menerapkan lembaran kertas secara akurat saat melepas cetakan
7," Suatu metode untuk memulihkan asam kromik, khususnya untuk mendapatkan alum krom"
8, Topka dengan beberapa kisi -kisi untuk bahan bakar padat
1, Sebuah oven untuk natrium sulfat kontinu
7," Metode pemulihan asam kromik, khususnya untuk mendapatkan alum krom"
9, Menusuk dengan kompor dalam air mendidih
10," A tungku yang dapat bekerja, baik secara mandiri maupun dalam kombinasi dengan berbagai jenis perangkat pemanas"
11, tungku yang dapat dilipat untuk memasak makanan dan roti roti
12, Metode pemindahan galvanik dari produk perak tanpa perubahan bentuknya yang nyata
13, Pompa
14, Lokomotif uap untuk memanaskan sepele batu yang nikmat
15, Perangkat untuk memanaskan perban yang terselip dari rolling stock
16, Perangkat pensinyalan listrik
17, Kompor untuk membakar limbah padat dan cair
18, Metode menggunakan peralatan pemisah mesin tulang belakang (bawang putih) yang ditujukan untuk wol merino untuk memproses wol kasar di atasnya
19, Suatu metode untuk pembuatan hambatan listrik dengan menekan lapisan konduktor pada permukaan isolator
20, perangkat cuci gase
21, Perangkat putus sekolah untuk seeders biasa
22," Mobil untuk memproduksi gambut, dll."
23, Perangkat untuk pencampuran biji -bijian yang seragam dan secara bersamaan memilih beberapa sampel yang identik dalam hal volume
24, Mesin menulis untuk font Turksko-Arab
25, Modifikasi mesin tik untuk font Turki-Arab
26, Perangkat untuk mendapatkan tayangan stereoskopis dari dua gambar dari skala yang berbeda
27, Perangkat dengan dua prisma
28, Modifikasi perangkat dengan dua teknik untuk mempertimbangkan stereogram proyeksi diperbesar dan jauh dari penonton
29, Solnesos
30, Metode pemrosesan garam tembaga asam naphthenic
